Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
Specialist,Specialist Grade in ENT (Ref: NHS-011-00162),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/30324833/
GP,GP Retainer Scheme (Ref: NHS-011-00163),Southern Health & Social Care Trust (Northern Ireland),"£52,530 to £78,274 (SAS/Specialist level)",Northern Ireland,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/86858248/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-011-00164),Great Ormond Street Hospital (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/15256989/
JCF,Junior Clinical Fellow in Emergency Medicine (Ref: NHS-012-00165),NHS Western Isles (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-08 00:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/86382773/
SCF,Senior Clinical Fellow in Neurology (Ref: NHS-012-00166),Powys Teaching Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/44131101/
Teaching,Undergraduate Teaching Fellow (Ref: NHS-012-00167),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/94308674/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-012-00168),Wrightington Wigan & Leigh NHS FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/58460249/
LAS,LAS ST1 in General Surgery (Ref: NHS-012-00169),NHS Lothian (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/68654924/
Locum,Locum Consultant in Emergency Medicine (Ref: NHS-012-00170),Betsi Cadwaladr University Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-08 00:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/47427627/
FY1,FY1 in General Practice (Ref: NHS-012-00171),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/35516439/
FY2,FY2 in Emergency Medicine (Ref: NHS-012-00172),Countess of Chester Hospital NHS FT (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 00:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/78214196/
CT,Core Trainee CT1 in Radiology (Ref: NHS-012-00173),NHS Fife (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 00:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/21742808/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-012-00174),Powys Teaching Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/20614996/
ST_Senior,ST5 in Respiratory Medicine (Ref: NHS-012-00175),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/46445637/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-012-00176),Royal Liverpool & Broadgreen NHS Trust (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 00:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/82897589/
Specialist,Specialist Grade in Ophthalmology (Ref: NHS-012-00177),NHS Borders (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/25155165/
GP,Salaried GP Session (Ref: NHS-012-00178),Betsi Cadwaladr University Health Board (Wales),"£88,364 to £119,133 (Consultant level)",Wales,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/83540354/
Dental,Consultant in Restorative Dentistry (Ref: NHS-012-00179),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-08 00:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/18896605/
JCF,Junior Clinical Fellow in Anaesthetics (Ref: NHS-013-00180),Liverpool Heart & Chest Hospital NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/46689771/
SCF,Senior Clinical Fellow in Respiratory (Ref: NHS-013-00181),NHS Shetland (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-08 00:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/67042111/
Teaching,Medical Education Fellow (Ref: NHS-013-00182),Powys Teaching Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-08 00:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/32928108/
TrustGrade,Trust Grade Doctor in Psychiatry (Ref: NHS-013-00183),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/79544230/
LAS,LAS ST1 in General Surgery (Ref: NHS-013-00184),Manchester University NHS FT - Royal Infirmary (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/15286364/
Locum,Locum SHO in General Medicine (Ref: NHS-013-00185),NHS Tayside (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-07 18:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/65889766/
FY1,FY1 in Psychiatry (Ref: NHS-013-00186),Betsi Cadwaladr University Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-08 00:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/71651846/
FY2,FY2 in Emergency Medicine (Ref: NHS-013-00187),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/26167853/
CT,Core Trainee CT2 in Surgery (Ref: NHS-013-00188),Bolton NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/64030053/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-013-00189),NHS Ayrshire & Arran (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/33818059/
ST_Senior,ST3 in Cardiology (Ref: NHS-013-00190),Powys Teaching Health Board (Wales),"£88,364 to £119,133 (Consultant level)",Wales,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/30775879/
SAS,Specialty Doctor in Anaesthetics (Ref: NHS-013-00191),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/69018411/
Specialist,Specialist Grade in Urology (Ref: NHS-013-00192),Greater Manchester Mental Health NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/90514591/
GP,Salaried GP Partner (Ref: NHS-013-00193),NHS Western Isles (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/81944778/
